ID Anúncio,Título (BR),Fonte,Vendedor,URL,Preço BR (R$),Qtd disponível,SKU,Produto (canônico),Tipo,Coleção,Preço US (US$),Câmbio USD/BRL,Preço US (R$),Lucro bruto (R$),Margem total %,Mais barato que US %,Lucro líquido est. (R$),Margem líquida est. %,Confiança do match,Confiança do deal,Risco principal,Ação recomendada,Motivo de rejeição
LIGA-134382-1,(ING) Booster Pack - Megaevolução 2 - Phantasmal Flames (English),liga,loja#645953,https://www.ligapokemon.com.br/?view=prod/view&pcode=134382&prod=(ING) Booster Avulso - Megaevolução 2 - Fogo Fantasmagórico,32.99,56,phf-pack-en,Phantasmal Flames Booster Pack (English),Sleeved Booster,Phantasmal Flames,10.9,5.1671,56.32,23.33,70.72,41.43,8.4,25.47,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-134382-2,(ING) Booster Pack - Megaevolução 2 - Phantasmal Flames (English),liga,loja#126907,https://www.ligapokemon.com.br/?view=prod/view&pcode=134382&prod=(ING) Booster Avulso - Megaevolução 2 - Fogo Fantasmagórico,33.0,54,phf-pack-en,Phantasmal Flames Booster Pack (English),Sleeved Booster,Phantasmal Flames,10.9,5.1671,56.32,23.32,70.67,41.41,8.39,25.43,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133783-1,(ING) Booster Pack - Escarlate e Violeta 10.5 - Raio Preto (English),liga,loja#256298,https://www.ligapokemon.com.br/?view=prod/view&pcode=133783&prod=(ING) Booster Avulso - Escarlate e Violeta 10.5 - Raio Preto,39.9,2,blk-sleeved-booster,Black Bolt Sleeved Booster (English),Sleeved Booster,Black Bolt,13.16,5.1671,68.0,28.1,70.42,41.32,-99.14,-248.47,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133957-8,(ING) Booster Bundle - Megaevolução 1 - Megaevolução (English),liga,loja#603507,https://www.ligapokemon.com.br/?view=prod/view&pcode=133957&prod=(ING) Combo de Pacotes - Megaevolução 1 - Megaevolução,182.0,3,meg-booster-bundle,Mega Evolution Booster Bundle (English),Booster Bundle,Mega Evolution,59.66,5.1671,308.27,126.27,69.38,40.96,-44.22,-24.30,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133779-3,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus (English),liga,loja#88061,https://www.ligapokemon.com.br/?view=prod/view&pcode=133779&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus,114.99,8,blk-tech-sticker,Black Bolt Tech Sticker (English),Tech Sticker,Black Bolt,37.13,5.1671,191.85,76.86,66.84,40.06,-72.67,-63.20,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133957-9,(ING) Booster Bundle - Megaevolução 1 - Megaevolução (English),liga,loja#147546,https://www.ligapokemon.com.br/?view=prod/view&pcode=133957&prod=(ING) Combo de Pacotes - Megaevolução 1 - Megaevolução,185.0,6,meg-booster-bundle,Mega Evolution Booster Bundle (English),Booster Bundle,Mega Evolution,59.66,5.1671,308.27,123.27,66.63,39.99,-47.22,-25.52,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133957-10,(ING) Booster Bundle - Megaevolução 1 - Megaevolução (English),liga,loja#537979,https://www.ligapokemon.com.br/?view=prod/view&pcode=133957&prod=(ING) Combo de Pacotes - Megaevolução 1 - Megaevolução,185.0,17,meg-booster-bundle,Mega Evolution Booster Bundle (English),Booster Bundle,Mega Evolution,59.66,5.1671,308.27,123.27,66.63,39.99,-47.22,-25.52,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133957-11,(ING) Booster Bundle - Megaevolução 1 - Megaevolução (English),liga,loja#639151,https://www.ligapokemon.com.br/?view=prod/view&pcode=133957&prod=(ING) Combo de Pacotes - Megaevolução 1 - Megaevolução,185.0,50,meg-booster-bundle,Mega Evolution Booster Bundle (English),Booster Bundle,Mega Evolution,59.66,5.1671,308.27,123.27,66.63,39.99,-47.22,-25.52,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133957-12,(ING) Booster Bundle - Megaevolução 1 - Megaevolução (English),liga,loja#699868,https://www.ligapokemon.com.br/?view=prod/view&pcode=133957&prod=(ING) Combo de Pacotes - Megaevolução 1 - Megaevolução,185.9,8,meg-booster-bundle,Mega Evolution Booster Bundle (English),Booster Bundle,Mega Evolution,59.66,5.1671,308.27,122.37,65.83,39.70,-48.12,-25.88,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133778-1,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle (English),liga,loja#508647,https://www.ligapokemon.com.br/?view=prod/view&pcode=133778&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle,119.9,11,wht-tech-sticker,White Flare Tech Sticker (English),Tech Sticker,White Flare,37.77,5.1671,195.16,75.26,62.77,38.56,-74.87,-62.44,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
